iter	Logloss
0	0.680041295
1	0.6721173099
2	0.6673880289
3	0.6644026711
4	0.6626302652
5	0.6615021864
6	0.6607633539
7	0.6602481633
8	0.659897441
9	0.6596398663
10	0.6594698544
11	0.6593341414
12	0.6592409098
13	0.6591492963
14	0.6591018297
15	0.6590510833
16	0.6590107518
17	0.6589783934
18	0.6589501507
19	0.6589115167
20	0.6588792063
21	0.658858013
22	0.6588304293
23	0.6588134082
24	0.6587950494
25	0.6587802486
26	0.6587703455
27	0.6587639892
28	0.6587422837
29	0.6587326932
30	0.6587221196
31	0.6587105987
32	0.6587085558
33	0.6587007273
34	0.6586949419
35	0.658688057
36	0.658679069
37	0.6586716628
38	0.658666681
39	0.6586616332
40	0.6586514119
41	0.6586461663
42	0.6586409996
43	0.6586391317
44	0.6586359405
45	0.6586294081
46	0.6586274724
47	0.6586214246
48	0.6586191216
49	0.6586112455
50	0.6586072968
51	0.6586039779
52	0.658599287
53	0.6585923119
54	0.6585886223
55	0.6585852206
56	0.658580218
57	0.6585759782
58	0.6585714798
59	0.6585668886
60	0.6585614851
61	0.6585544755
62	0.6585455465
63	0.6585336104
64	0.6585278546
65	0.6585233773
66	0.6585219418
67	0.6585198252
68	0.6585111773
69	0.6585056747
70	0.6585004061
71	0.6584910608
72	0.6584840004
73	0.6584805298
74	0.6584721442
75	0.6584688583
76	0.6584660933
77	0.6584642666
78	0.6584602081
79	0.6584560192
80	0.6584487647
81	0.6584474166
82	0.6584274149
83	0.6584228107
84	0.6584205183
85	0.6584140399
86	0.6584082412
87	0.658403984
88	0.6584012697
89	0.6583982033
90	0.6583886205
91	0.6583843223
92	0.6583799969
93	0.6583785782
94	0.6583747134
95	0.658372147
96	0.6583698061
97	0.6583653954
98	0.658362729
99	0.6583565348
100	0.6583532487
101	0.6583486646
102	0.6583473455
103	0.6583437715
104	0.6583407344
105	0.6583362732
106	0.6583316602
107	0.6583241837
108	0.6583156576
109	0.6583113424
110	0.6583038815
111	0.658300846
112	0.6582989475
113	0.6582947754
114	0.6582916249
115	0.6582827662
116	0.6582759752
117	0.6582740178
118	0.6582663899
119	0.6582564036
120	0.6582458106
121	0.6582414953
122	0.6582240849
123	0.6582192389
124	0.6582114677
125	0.6581965442
126	0.6581950272
127	0.6581742214
128	0.6581647774
129	0.6581423761
130	0.6581324308
131	0.6581171581
132	0.658102985
133	0.6580889131
134	0.6580747498
135	0.6580589615
136	0.6580480746
137	0.6580243162
138	0.6580012652
